FID_171204,CVE_EDO,NOM_EDO,CVE_MUN,NOM_MUN,SUP_MUN,SUP_MUN_ZE,REGION,AP
"5789","20",Oaxaca,"20519",Santo Domingo Tomaltepec,3059.14000000000,242.52497556700,CENTRO-SUR,3B
"5790","20",Oaxaca,"20519",Santo Domingo Tomaltepec,3059.14000000000,238.96794094100,CENTRO-SUR,"5"
"5791","20",Oaxaca,"20519",Santo Domingo Tomaltepec,3059.14000000000,45.90382022220,CENTRO-SUR,"6"
"5802","20",Oaxaca,"20523",Santo Domingo YanhuitlÃ¡n,6963.00000000000,128.36075468200,CENTRO-SUR,3A
"5803","20",Oaxaca,"20523",Santo Domingo YanhuitlÃ¡n,6963.00000000000,101.84353669700,CENTRO-SUR,3B
"5804","20",Oaxaca,"20523",Santo Domingo YanhuitlÃ¡n,6963.00000000000,0.57262371865,CENTRO-SUR,"6"
"5815","20",Oaxaca,"20526",Santos Reyes Nopala,22740.12000000000,1079.58243883000,CENTRO-SUR,"1"
"5816","20",Oaxaca,"20526",Santos Reyes Nopala,22740.12000000000,730.03795880800,CENTRO-SUR,"2"
"5817","20",Oaxaca,"20526",Santos Reyes Nopala,22740.12000000000,195.91404619000,CENTRO-SUR,3A
"5818","20",Oaxaca,"20526",Santos Reyes Nopala,22740.12000000000,8.12636959318,CENTRO-SUR,3B
"5819","20",Oaxaca,"20526",Santos Reyes Nopala,22740.12000000000,299.63065518400,CENTRO-SUR,4B
"5820","20",Oaxaca,"20526",Santos Reyes Nopala,22740.12000000000,37.62543237420,CENTRO-SUR,"5"
"5821","20",Oaxaca,"20526",Santos Reyes Nopala,22740.12000000000,1004.62459131000,CENTRO-SUR,"6"
"5835","20",Oaxaca,"20530",Santo TomÃ¡s Jalieza,7027.07000000000,1382.72576854000,CENTRO-SUR,3A
"5836","20",Oaxaca,"20530",Santo TomÃ¡s Jalieza,7027.07000000000,323.21627681200,CENTRO-SUR,3B
"5837","20",Oaxaca,"20530",Santo TomÃ¡s Jalieza,7027.07000000000,89.83287396140,CENTRO-SUR,"6"
"5838","20",Oaxaca,"20531",Santo TomÃ¡s Mazaltepec,4406.07000000000,1751.15219259000,CENTRO-SUR,3A
"5839","20",Oaxaca,"20531",Santo TomÃ¡s Mazaltepec,4406.07000000000,84.31966163880,CENTRO-SUR,3B
"5840","20",Oaxaca,"20531",Santo TomÃ¡s Mazaltepec,4406.07000000000,14.30641660570,CENTRO-SUR,"6"
"5841","20",Oaxaca,"20532",Santo TomÃ¡s Ocotepec,8016.40000000000,403.23097127200,CENTRO-SUR,"1"
"5842","20",Oaxaca,"20532",Santo TomÃ¡s Ocotepec,8016.40000000000,36.41892922190,CENTRO-SUR,"2"
"5843","20",Oaxaca,"20532",Santo TomÃ¡s Ocotepec,8016.40000000000,1178.88582912000,CENTRO-SUR,3A
"5844","20",Oaxaca,"20532",Santo TomÃ¡s Ocotepec,8016.40000000000,450.06223347000,CENTRO-SUR,3B
"5845","20",Oaxaca,"20532",Santo TomÃ¡s Ocotepec,8016.40000000000,3040.75387086000,CENTRO-SUR,"6"
"5846","20",Oaxaca,"20533",Santo TomÃ¡s Tamazulapan,6691.16000000000,1517.47011384000,CENTRO-SUR,3A
"5847","20",Oaxaca,"20533",Santo TomÃ¡s Tamazulapan,6691.16000000000,582.68653405800,CENTRO-SUR,3B
"5848","20",Oaxaca,"20533",Santo TomÃ¡s Tamazulapan,6691.16000000000,418.63262819600,CENTRO-SUR,"6"
"5852","20",Oaxaca,"20535",San Vicente LachixÃ­o,13689.70000000000,330.35313656400,CENTRO-SUR,3A
"5853","20",Oaxaca,"20535",San Vicente LachixÃ­o,13689.70000000000,1693.62560739000,CENTRO-SUR,3B
"5855","20",Oaxaca,"20536",San Vicente NuÃ±Ãº,7140.18000000000,2507.12873303000,CENTRO-SUR,3A
"5856","20",Oaxaca,"20536",San Vicente NuÃ±Ãº,7140.18000000000,1992.51078688000,CENTRO-SUR,3B
"5857","20",Oaxaca,"20536",San Vicente NuÃ±Ãº,7140.18000000000,246.71869988000,CENTRO-SUR,"6"
"5881","20",Oaxaca,"20544",Teococuilco de Marcos PÃ©rez,13317.75000000000,1076.17118491000,CENTRO-SUR,3A
"5882","20",Oaxaca,"20544",Teococuilco de Marcos PÃ©rez,13317.75000000000,1241.10101984000,CENTRO-SUR,3B
"5885","20",Oaxaca,"20545",TeotitlÃ¡n de Flores MagÃ³n,14365.19000000000,349.53442805900,CENTRO-SUR,"1"
"5886","20",Oaxaca,"20545",TeotitlÃ¡n de Flores MagÃ³n,14365.19000000000,2.61325617304,CENTRO-SUR,"2"
"5887","20",Oaxaca,"20545",TeotitlÃ¡n de Flores MagÃ³n,14365.19000000000,862.38106217100,CENTRO-SUR,3A
"5888","20",Oaxaca,"20545",TeotitlÃ¡n de Flores MagÃ³n,14365.19000000000,58.71518779410,CENTRO-SUR,3B
"5889","20",Oaxaca,"20545",TeotitlÃ¡n de Flores MagÃ³n,14365.19000000000,1124.52280059000,CENTRO-SUR,"5"
"5890","20",Oaxaca,"20545",TeotitlÃ¡n de Flores MagÃ³n,14365.19000000000,1433.87726841000,CENTRO-SUR,"6"
"5891","20",Oaxaca,"20546",TeotitlÃ¡n del Valle,10804.62000000000,6579.58077711000,CENTRO-SUR,3A
"5892","20",Oaxaca,"20546",TeotitlÃ¡n del Valle,10804.62000000000,673.47787274600,CENTRO-SUR,3B
"5893","20",Oaxaca,"20546",TeotitlÃ¡n del Valle,10804.62000000000,706.97067706400,CENTRO-SUR,"6"
"5905","20",Oaxaca,"20550",San JerÃ³nimo Tlacochahuaya,3672.90000000000,1.47551459674,CENTRO-SUR,3A
"5908","20",Oaxaca,"20550",San JerÃ³nimo Tlacochahuaya,3672.90000000000,0.36229378121,CENTRO-SUR,"6"
"5909","20",Oaxaca,"20551",Tlacolula de Matamoros,13602.85000000000,0.30828321026,CENTRO-SUR,3A
"5910","20",Oaxaca,"20551",Tlacolula de Matamoros,13602.85000000000,1.34677688294,CENTRO-SUR,3B
"5916","20",Oaxaca,"20553",Tlalixtac de Cabrera,8164.80000000000,945.02313558200,CENTRO-SUR,3A
"5917","20",Oaxaca,"20553",Tlalixtac de Cabrera,8164.80000000000,1354.46411793000,CENTRO-SUR,3B
"5918","20",Oaxaca,"20553",Tlalixtac de Cabrera,8164.80000000000,2236.07878777000,CENTRO-SUR,"5"
"5919","20",Oaxaca,"20553",Tlalixtac de Cabrera,8164.80000000000,785.63975709400,CENTRO-SUR,"6"
"5939","20",Oaxaca,"20560",Villa DÃ­az Ordaz,28378.38000000000,4.54159769354,CENTRO-SUR,3A
"5940","20",Oaxaca,"20560",Villa DÃ­az Ordaz,28378.38000000000,0.17105930195,CENTRO-SUR,3B
"5942","20",Oaxaca,"20560",Villa DÃ­az Ordaz,28378.38000000000,12.01347895840,CENTRO-SUR,"6"
"5946","20",Oaxaca,"20562",Magdalena Yodocono de Porfirio DÃ­az,3905.11000000000,10.18604189590,CENTRO-SUR,3A
"5947","20",Oaxaca,"20562",Magdalena Yodocono de Porfirio DÃ­az,3905.11000000000,633.44103561000,CENTRO-SUR,3B
"5975","20",Oaxaca,"20570",ZimatlÃ¡n de Ãlvarez,35470.41000000000,1256.07491632000,CENTRO-SUR,3A
"5976","20",Oaxaca,"20570",ZimatlÃ¡n de Ãlvarez,35470.41000000000,4293.44449060000,CENTRO-SUR,3B
"5977","20",Oaxaca,"20570",ZimatlÃ¡n de Ãlvarez,35470.41000000000,360.93614103200,CENTRO-SUR,"6"
"3796","20",Oaxaca,"20001",Abejones,12636.59000000000,2.79897955124,CENTRO-SUR,"1"
"3797","20",Oaxaca,"20001",Abejones,12636.59000000000,43.76009685400,CENTRO-SUR,"2"
"3798","20",Oaxaca,"20001",Abejones,12636.59000000000,919.62609243900,CENTRO-SUR,3A
"3799","20",Oaxaca,"20001",Abejones,12636.59000000000,5004.79777801000,CENTRO-SUR,3B
"3800","20",Oaxaca,"20001",Abejones,12636.59000000000,235.79369768000,CENTRO-SUR,"5"
"3801","20",Oaxaca,"20001",Abejones,12636.59000000000,1514.78023148000,CENTRO-SUR,"6"
"3802","20",Oaxaca,"20002",AcatlÃ¡n de PÃ©rez Figueroa,75218.99000000001,11884.09812940000,CENTRO-SUR,4A
"3803","20",Oaxaca,"20002",AcatlÃ¡n de PÃ©rez Figueroa,75218.99000000001,380.23349864000,CENTRO-SUR,4B
"3804","20",Oaxaca,"20002",AcatlÃ¡n de PÃ©rez Figueroa,75218.99000000001,10263.28664610000,CENTRO-SUR,"6"
"3805","20",Oaxaca,"20003",AsunciÃ³n Cacalotepec,7644.42000000000,5678.36437965000,CENTRO-SUR,"1"
"3806","20",Oaxaca,"20003",AsunciÃ³n Cacalotepec,7644.42000000000,259.93735929900,CENTRO-SUR,"2"
"3807","20",Oaxaca,"20003",AsunciÃ³n Cacalotepec,7644.42000000000,42.24974141530,CENTRO-SUR,3A
"3808","20",Oaxaca,"20003",AsunciÃ³n Cacalotepec,7644.42000000000,28.92735664030,CENTRO-SUR,3B
"3809","20",Oaxaca,"20003",AsunciÃ³n Cacalotepec,7644.42000000000,1603.23826133000,CENTRO-SUR,"6"
"3828","20",Oaxaca,"20009",Ayotzintepec,15740.89000000000,11327.68448220000,CENTRO-SUR,4A
"3829","20",Oaxaca,"20009",Ayotzintepec,15740.89000000000,115.99152968100,CENTRO-SUR,4B
"3830","20",Oaxaca,"20009",Ayotzintepec,15740.89000000000,1160.29769128000,CENTRO-SUR,"6"
"3868","20",Oaxaca,"20019",ConcepciÃ³n PÃ¡palo,17340.25000000000,1589.84809634000,CENTRO-SUR,"1"
"3869","20",Oaxaca,"20019",ConcepciÃ³n PÃ¡palo,17340.25000000000,848.08114949900,CENTRO-SUR,"2"
"3870","20",Oaxaca,"20019",ConcepciÃ³n PÃ¡palo,17340.25000000000,4171.53488712000,CENTRO-SUR,3A
"3871","20",Oaxaca,"20019",ConcepciÃ³n PÃ¡palo,17340.25000000000,1873.16042258000,CENTRO-SUR,3B
"3872","20",Oaxaca,"20019",ConcepciÃ³n PÃ¡palo,17340.25000000000,142.61377985900,CENTRO-SUR,4A
"3873","20",Oaxaca,"20019",ConcepciÃ³n PÃ¡palo,17340.25000000000,0.62076968659,CENTRO-SUR,4B
"3874","20",Oaxaca,"20019",ConcepciÃ³n PÃ¡palo,17340.25000000000,1086.76339288000,CENTRO-SUR,"5"
"3875","20",Oaxaca,"20019",ConcepciÃ³n PÃ¡palo,17340.25000000000,7615.42689452000,CENTRO-SUR,"6"
"3887","20",Oaxaca,"20024",Cuyamecalco Villa de Zaragoza,7898.96000000000,0.94764139989,CENTRO-SUR,"1"
"3888","20",Oaxaca,"20024",Cuyamecalco Villa de Zaragoza,7898.96000000000,0.45319646525,CENTRO-SUR,"2"
"3889","20",Oaxaca,"20024",Cuyamecalco Villa de Zaragoza,7898.96000000000,726.19907828500,CENTRO-SUR,3A
